ts,consumer1,consumer2
2019-02-01 05:28:00,513.2483,519.7247
2019-02-01 05:29:00,515.2318,505.5606
2019-02-01 05:30:00,486.0902,472.0315
2019-02-01 05:31:00,604.4661,646.2084
2019-02-01 05:32:00,557.0629,597.1245
2019-02-01 05:33:00,587.6741,564.4144
2019-02-01 05:34:00,640.1527,658.7423
2019-02-01 05:35:00,570.5619,650.0127
2019-02-01 05:36:00,535.5171,598.9619
2019-02-01 05:37:00,545.0552,548.9350
2019-02-01 05:38:00,648.7814,602.1807
2019-02-01 05:39:00,623.0304,618.6260
2019-02-01 05:40:00,594.1354,590.5994
2019-02-01 05:41:00,621.7292,567.8270
2019-02-01 05:42:00,609.1717,599.7646
2019-02-01 05:43:00,526.1928,592.9608
2019-02-01 05:44:00,571.6454,519.5260
2019-02-01 05:45:00,519.4393,536.4559
2019-02-01 05:46:00,627.2197,687.0086
2019-02-01 05:47:00,650.8800,685.2220
2019-02-01 05:48:00,598.7791,647.6495
2019-02-01 05:49:00,640.3581,618.3937
2019-02-01 05:50:00,635.7267,589.2410
2019-02-01 05:51:00,588.8356,584.9750
2019-02-01 05:52:00,581.0929,580.7355
2019-02-01 05:53:00,576.5054,617.3647
2019-02-01 05:54:00,573.1029,593.9323
2019-02-01 05:55:00,553.0172,608.3029
2019-02-01 05:56:00,563.6674,621.0688
2019-02-01 05:57:00,582.5623,567.8648
2019-02-01 05:58:00,587.6386,548.7149
2019-02-01 05:59:00,536.6352,559.1647
2019-02-01 06:00:00,497.8669,517.7419
2019-02-01 06:01:00,714.7513,740.7092
2019-02-01 06:02:00,671.2209,654.4181
2019-02-01 06:03:00,690.3453,669.1081
2019-02-01 06:04:00,725.6523,650.2631
2019-02-01 06:05:00,699.0876,593.2596
2019-02-01 06:06:00,652.1049,593.8143
2019-02-01 06:07:00,661.8085,626.9684
2019-02-01 06:08:00,667.1231,700.6277
2019-02-01 06:09:00,638.2929,708.0186
2019-02-01 06:10:00,624.7208,664.2467
2019-02-01 06:11:00,613.5478,585.9210
2019-02-01 06:12:00,645.4967,581.9817
2019-02-01 06:13:00,612.8873,586.2034
2019-02-01 06:14:00,586.3586,569.2447
2019-02-01 06:15:00,573.8820,554.2366
2019-02-01 06:16:00,670.0441,676.9282
2019-02-01 06:17:00,647.7058,645.7979
2019-02-01 06:18:00,643.1251,614.4001
2019-02-01 06:19:00,663.6495,672.4266
2019-02-01 06:20:00,620.8017,647.4759
2019-02-01 06:21:00,608.5991,604.0012
2019-02-01 06:22:00,652.2363,583.9993
2019-02-01 06:23:00,689.9881,674.0603
2019-02-01 06:24:00,682.5662,649.1066
2019-02-01 06:25:00,637.9420,601.4755
2019-02-01 06:26:00,611.1206,595.3061
2019-02-01 06:27:00,613.2578,644.5334
2019-02-01 06:28:00,596.6021,553.1177
2019-02-01 06:29:00,569.6001,586.3823
2019-02-01 06:30:00,576.5869,559.6970
2019-02-01 06:31:00,642.0991,647.0044
2019-02-01 06:32:00,666.9717,628.1230
2019-02-01 06:33:00,618.7712,597.9605
2019-02-01 06:34:00,624.2083,665.2824
2019-02-01 06:35:00,591.5197,600.3298
2019-02-01 06:36:00,567.2085,545.2541
2019-02-01 06:37:00,523.7890,583.2325
2019-02-01 06:38:00,605.0978,604.4650
2019-02-01 06:39:00,607.0803,619.7348
2019-02-01 06:40:00,613.6935,552.8543
2019-02-01 06:41:00,582.0069,571.0466
2019-02-01 06:42:00,538.0722,591.7250
2019-02-01 06:43:00,543.4445,561.8208
2019-02-01 06:44:00,497.1203,555.7701
2019-02-01 06:45:00,492.7627,543.7443
2019-02-01 06:46:00,583.0211,627.2598
2019-02-01 06:47:00,602.2435,672.1707
2019-02-01 06:48:00,587.0804,608.3587
2019-02-01 06:49:00,587.0202,669.8674
2019-02-01 06:50:00,604.9177,564.6047
2019-02-01 06:51:00,575.4146,587.9402
2019-02-01 06:52:00,507.3835,553.8689
2019-02-01 06:53:00,604.2863,594.8406
2019-02-01 06:54:00,559.9576,588.4301
2019-02-01 06:55:00,606.9965,596.3489
2019-02-01 06:56:00,536.3819,541.2166
2019-02-01 06:57:00,558.2764,551.4422
2019-02-01 06:58:00,526.0877,523.7134
2019-02-01 06:59:00,537.6272,514.0303
2019-02-01 07:00:00,516.1290,504.1817
2019-02-01 07:01:00,713.5267,750.2859
2019-02-01 07:02:00,658.1838,666.7722
2019-02-01 07:03:00,627.7657,636.8890
2019-02-01 07:04:00,616.3527,635.1242
2019-02-01 07:05:00,625.1878,628.7343
2019-02-01 07:06:00,581.5241,611.8805
2019-02-01 07:07:00,582.1899,566.8308
2019-02-01 07:08:00,629.1401,701.0794
2019-02-01 07:09:00,595.3886,652.9956
2019-02-01 07:10:00,591.3309,605.5241
2019-02-01 07:11:00,544.2318,541.5889
2019-02-01 07:12:00,581.2812,588.8491
2019-02-01 07:13:00,597.5455,593.7355
2019-02-01 07:14:00,567.7130,568.6886
2019-02-01 07:15:00,536.5121,575.1099
2019-02-01 07:16:00,674.9071,660.3911
2019-02-01 07:17:00,599.1741,575.7121
2019-02-01 07:18:00,585.1856,607.5505
2019-02-01 07:19:00,674.7352,608.4476
2019-02-01 07:20:00,611.7225,602.0620
2019-02-01 07:21:00,576.2661,645.0933
2019-02-01 07:22:00,558.9368,578.3922
2019-02-01 07:23:00,614.7067,628.6187
2019-02-01 07:24:00,526.1772,599.3267
2019-02-01 07:25:00,541.4011,611.4295
2019-02-01 07:26:00,553.3170,606.6673
2019-02-01 07:27:00,565.0194,657.7403
2019-02-01 07:28:00,582.3965,564.1513
2019-02-01 07:29:00,530.5511,600.3428
2019-02-01 07:30:00,476.1482,564.4510
2019-02-01 07:31:00,598.3140,586.2046
2019-02-01 07:32:00,596.0524,630.7388
2019-02-01 07:33:00,584.6982,591.3357
2019-02-01 07:34:00,619.5171,642.3952
2019-02-01 07:35:00,592.7846,580.2783
2019-02-01 07:36:00,555.8720,590.8986
2019-02-01 07:37:00,573.0996,527.9839
2019-02-01 07:38:00,618.3890,587.3409
2019-02-01 07:39:00,614.6012,527.2564
2019-02-01 07:40:00,551.8855,548.6042
2019-02-01 07:41:00,568.8857,525.4174
2019-02-01 07:42:00,581.8862,521.0574
2019-02-01 07:43:00,586.6854,537.0759
2019-02-01 07:44:00,534.6694,523.7393
2019-02-01 07:45:00,521.2903,479.9357
2019-02-01 07:46:00,693.1691,623.5308
2019-02-01 07:47:00,627.6623,573.8860
2019-02-01 07:48:00,571.4933,597.2689
2019-02-01 07:49:00,613.0034,559.0361
2019-02-01 07:50:00,535.9697,548.2714
2019-02-01 07:51:00,527.1498,520.7970
2019-02-01 07:52:00,551.4856,527.8963
2019-02-01 07:53:00,596.7380,577.8258
2019-02-01 07:54:00,592.1522,537.1837
2019-02-01 07:55:00,522.0537,515.8794
2019-02-01 07:56:00,487.2571,510.0323
2019-02-01 07:57:00,566.1183,536.1428
2019-02-01 07:58:00,546.7197,527.8254
2019-02-01 07:59:00,462.7018,525.5046
2019-02-01 08:00:00,480.7751,486.9101
2019-02-01 08:01:00,700.3932,684.1477
2019-02-01 08:02:00,740.8281,730.8593
2019-02-01 08:03:00,616.9847,639.8088
2019-02-01 08:04:00,673.2808,604.9382
2019-02-01 08:05:00,624.9467,648.5293
2019-02-01 08:06:00,605.0602,620.7950
2019-02-01 08:07:00,657.5813,570.3227
2019-02-01 08:08:00,646.2638,655.2740
2019-02-01 08:09:00,589.1603,622.8783
2019-02-01 08:10:00,633.5916,604.2169
2019-02-01 08:11:00,611.6369,592.6360
2019-02-01 08:12:00,578.2847,637.5027
2019-02-01 08:13:00,538.8416,611.8595
2019-02-01 08:14:00,519.4090,560.9134
2019-02-01 08:15:00,494.9120,547.9754
2019-02-01 08:16:00,651.5749,666.0847
2019-02-01 08:17:00,574.4550,612.6500
2019-02-01 08:18:00,576.2147,617.3292
2019-02-01 08:19:00,595.4589,605.1735
2019-02-01 08:20:00,587.5390,597.8100
2019-02-01 08:21:00,582.8884,609.5786
2019-02-01 08:22:00,539.2031,572.3935
2019-02-01 08:23:00,579.4392,567.8129
2019-02-01 08:24:00,556.7781,574.1469
2019-02-01 08:25:00,566.8344,540.8682
2019-02-01 08:26:00,516.5789,556.4261
2019-02-01 08:27:00,593.0734,525.1578
2019-02-01 08:28:00,511.3031,478.6475
2019-02-01 08:29:00,533.8254,490.3200
2019-02-01 08:30:00,479.4848,478.1932
2019-02-01 08:31:00,603.9822,625.4001
2019-02-01 08:32:00,553.5926,588.8755
2019-02-01 08:33:00,568.5401,546.4027
2019-02-01 08:34:00,575.6636,601.5585
2019-02-01 08:35:00,594.5219,584.1007
2019-02-01 08:36:00,522.1695,573.2048
2019-02-01 08:37:00,502.1728,567.1179
2019-02-01 08:38:00,599.4231,577.8801
2019-02-01 08:39:00,584.7059,493.5539
2019-02-01 08:40:00,554.4424,528.4862
2019-02-01 08:41:00,511.7293,517.1670
2019-02-01 08:42:00,510.9645,527.8523
2019-02-01 08:43:00,506.0000,516.2858
2019-02-01 08:44:00,481.4887,478.0295
2019-02-01 08:45:00,490.1120,470.1361
2019-02-01 08:46:00,552.8316,560.1733
2019-02-01 08:47:00,564.0798,519.2456
2019-02-01 08:48:00,550.1488,516.4806
2019-02-01 08:49:00,579.7870,548.2900
2019-02-01 08:50:00,551.8478,521.7003
2019-02-01 08:51:00,536.6844,515.1248
2019-02-01 08:52:00,529.1490,514.8688
2019-02-01 08:53:00,545.9839,598.5154
2019-02-01 08:54:00,578.7292,524.0245
2019-02-01 08:55:00,559.3530,501.0896
2019-02-01 08:56:00,506.9640,487.6248
2019-02-01 08:57:00,547.2964,475.0970
2019-02-01 08:58:00,486.3706,499.5711
2019-02-01 08:59:00,465.3695,489.0582
2019-02-01 09:00:00,475.1234,471.7696
2019-02-01 09:01:00,643.3216,657.3328
2019-02-01 09:02:00,610.7177,589.8187
2019-02-01 09:03:00,583.2980,573.0584
2019-02-01 09:04:00,625.3450,592.3017
2019-02-01 09:05:00,622.1970,591.1475
2019-02-01 09:06:00,605.2370,582.8481
2019-02-01 09:07:00,586.7962,521.2484
2019-02-01 09:08:00,592.2407,609.3398
2019-02-01 09:09:00,553.4309,575.8459
2019-02-01 09:10:00,568.1488,552.6275
2019-02-01 09:11:00,545.2751,578.5612
2019-02-01 09:12:00,564.2391,593.7378
2019-02-01 09:13:00,543.3333,591.3444
2019-02-01 09:14:00,477.7583,546.7278
2019-02-01 09:15:00,513.0554,506.2650
2019-02-01 09:16:00,565.3800,597.0531
2019-02-01 09:17:00,533.9473,593.3839
2019-02-01 09:18:00,528.1531,594.9493
2019-02-01 09:19:00,553.9723,561.3433
2019-02-01 09:20:00,506.1239,586.3435
2019-02-01 09:21:00,494.6070,587.6404
2019-02-01 09:22:00,475.4083,520.7794
2019-02-01 09:23:00,590.8980,573.6499
2019-02-01 09:24:00,550.5944,559.1453
2019-02-01 09:25:00,499.0740,546.6228
2019-02-01 09:26:00,499.7862,545.8973
2019-02-01 09:27:00,513.5721,534.1054
2019-02-01 09:28:00,487.6349,541.4292
2019-02-01 09:29:00,450.8742,530.8035
2019-02-01 09:30:00,474.4656,502.9530
2019-02-01 09:31:00,626.5546,589.3021
2019-02-01 09:32:00,589.6175,556.5115
2019-02-01 09:33:00,612.8487,579.5121
2019-02-01 09:34:00,581.2323,611.1996
2019-02-01 09:35:00,530.1921,564.2554
2019-02-01 09:36:00,567.0803,548.9332
2019-02-01 09:37:00,517.8277,526.9888
2019-02-01 09:38:00,594.4283,555.2100
2019-02-01 09:39:00,556.8310,536.7767
2019-02-01 09:40:00,548.2661,462.9904
2019-02-01 09:41:00,563.6343,466.3294
2019-02-01 09:42:00,534.5032,531.6480
2019-02-01 09:43:00,541.5082,526.7598
2019-02-01 09:44:00,547.6858,497.7730
2019-02-01 09:45:00,489.1614,482.2921
2019-02-01 09:46:00,580.1386,511.3962
2019-02-01 09:47:00,546.3585,525.4609
2019-02-01 09:48:00,547.2565,521.3140
2019-02-01 09:49:00,525.9760,459.5245
2019-02-01 09:50:00,495.9588,490.9757
2019-02-01 09:51:00,469.7128,437.4533
2019-02-01 09:52:00,517.6629,425.7330
2019-02-01 09:53:00,525.6245,530.9456
2019-02-01 09:54:00,552.7180,513.0086
2019-02-01 09:55:00,487.7772,480.1253
2019-02-01 09:56:00,502.7436,467.5423
2019-02-01 09:57:00,455.7467,483.0942
2019-02-01 09:58:00,457.3169,474.1593
2019-02-01 09:59:00,456.6526,439.2280
2019-02-01 10:00:00,428.8798,411.9494
2019-02-01 10:01:00,615.3388,595.7529
2019-02-01 10:02:00,561.9649,557.9525
2019-02-01 10:03:00,527.3805,550.0069
2019-02-01 10:04:00,575.1123,572.2892
2019-02-01 10:05:00,543.7487,561.6599
